Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,CO-CD-DE-02,Activo,DESCOSEDOR GRANDE ROJO C/BOLIT S:LOT00
3,MATERIA PRIMA,SE-GR-DE-01,Activo,DESEMULSIONADOR LIQUIDO
3,MATERIA PRIMA,CO-CD-DE-01,Activo,DESHEBRAD NORMALTC-100* CAJA 12 PZAS
3,MATERIA PRIMA,DES-015,Activo,DESLIZADOR 5VENUS ORO S/S
3,MATERIA PRIMA,DES-SA-01,Activo,DESLIZADOR DE CIERRE SPRING AIR
3,MATERIA PRIMA,DES-114,Activo,DESLIZADOR FANTASIA D27 PLAST NEGRO No 5
3,MATERIA PRIMA,DES-115,Activo,DESLIZADOR FANTASIA D60 PLAST NEGRO No 5
3,MATERIA PRIMA,DES-017,Activo,DESLIZADOR POL. 5 ESMERALDA J/LARGA
3,MATERIA PRIMA,DES-029,Activo,DESLIZADOR POL. 5 GRIS J/LARGA
3,MATERIA PRIMA,DES-028,Activo,DESLIZADOR POLIESTER 3 AZUL MARINO C/SEG
3,MATERIA PRIMA,DES-030,Activo,DESLIZADOR ZIP NEGRO CHINO
3,MATERIA PRIMA,DES-013,Activo,DESLIZADORES AZUL CLARO No 5
3,MATERIA PRIMA,DES-008,Activo,DESLIZADORES AZUL MARINO No. 5
3,MATERIA PRIMA,DES-009,Activo,DESLIZADORES AZUL PANAM No 5
3,MATERIA PRIMA,DES-016,Activo,DESLIZADORES AZUL REY No 5
3,MATERIA PRIMA,DES-018,Activo,DESLIZADORES BEIGE No 5
3,MATERIA PRIMA,DES-001,Activo,DESLIZADORES BLANCOS NO.3
3,MATERIA PRIMA,DES-002,Activo,DESLIZADORES BLANCOS NO.5
3,MATERIA PRIMA,DES-026,Activo,DESLIZADORES CHINO TRANSPARENTE
3,MATERIA PRIMA,DES-027,Activo,DESLIZADORES CHINOS GRIS
3,MATERIA PRIMA,DES-012,Activo,DESLIZADORES FIUSHA No 5
3,MATERIA PRIMA,DES-024,Activo,DESLIZADORES GRIS 16 No.5
3,MATERIA PRIMA,DES-014,Activo,DESLIZADORES GRIS MEDIO No 5
3,MATERIA PRIMA,DES-005,Activo,DESLIZADORES GRIS PLATA No. 5
3,MATERIA PRIMA,DES-023,Activo,DESLIZADORES MANDARINA No.5
3,MATERIA PRIMA,DES-006,Activo,DESLIZADORES MENTA No. 5
3,MATERIA PRIMA,DES-003,Activo,DESLIZADORES NEGROS NO. 5
3,MATERIA PRIMA,DES-004,Activo,DESLIZADORES NIQUELADOS NO.5
3,MATERIA PRIMA,DES-019,Activo,DESLIZADORES ORO No. 5
3,MATERIA PRIMA,DES-025,Activo,DESLIZADORES OXFORD 36 No.5
3,MATERIA PRIMA,DES-020,Activo,DESLIZADORES PLATA
3,MATERIA PRIMA,DES-021,Activo,DESLIZADORES ROJO No. 5
3,MATERIA PRIMA,DES-002-RMP,Activo,DESLIZADORES ROJOS
3,MATERIA PRIMA,DES-010,Activo,DESLIZADORES ROSA PASTEL No 5
3,MATERIA PRIMA,DES-022,Activo,DESLIZADORES VERDE BANDERA No. 5
3,MATERIA PRIMA,DES-007,Activo,DESLIZADORES VERDE LIMON No. 5
3,MATERIA PRIMA,DES-011,Activo,DESLIZADORES VERDE MANZANA No 5
3,MATERIA PRIMA,53131608,Activo,DETERGENTE ROMA DE 5 KG
